DATE,IPB50001N
2004-05-01,95.6684
2004-06-01,97.8906
2004-07-01,94.7580
2004-08-01,98.3537
2004-09-01,97.7483
2004-10-01,97.9558
2004-11-01,96.9932
2004-12-01,97.3681
2005-01-01,97.6122
2005-02-01,98.7939
2005-03-01,99.3381
2005-04-01,98.5534
2005-05-01,98.8643
2005-06-01,102.2743
2005-07-01,98.4761
2005-08-01,102.0852
2005-09-01,99.6300
2005-10-01,99.7321
2005-11-01,99.4947
2005-12-01,100.0331
2006-01-01,99.3665
2006-02-01,100.1543
2006-03-01,101.5177
2006-04-01,99.5397
2006-05-01,100.9926
2006-06-01,104.4709
2006-07-01,101.3260
2006-08-01,104.8168
2006-09-01,103.7939
2006-10-01,102.5098
2006-11-01,101.2843
2006-12-01,102.3164
2007-01-01,101.1293
2007-02-01,102.6892
2007-03-01,103.8859
2007-04-01,102.8756
2007-05-01,103.9157
2007-06-01,107.0333
2007-07-01,103.7309
2007-08-01,107.2010
2007-09-01,106.7223
2007-10-01,104.9733
2007-11-01,104.4973
2007-12-01,104.5292
2008-01-01,103.7722
2008-02-01,103.6503
2008-03-01,104.0311
2008-04-01,102.5509
2008-05-01,102.2600
2008-06-01,105.0048
2008-07-01,102.1366
2008-08-01,102.9055
2008-09-01,97.7563
2008-10-01,97.3303
2008-11-01,95.2745
2008-12-01,93.1596
2009-01-01,90.5520
2009-02-01,89.7932
2009-03-01,88.8336
2009-04-01,86.3730
2009-05-01,86.5837
2009-06-01,88.8350
2009-07-01,88.1548
2009-08-01,91.2496
2009-09-01,90.4921
2009-10-01,89.9791
2009-11-01,89.6629
2009-12-01,90.4641
2010-01-01,91.3870
2010-02-01,91.4674
2010-03-01,92.6343
2010-04-01,91.5249
2010-05-01,93.3800
2010-06-01,96.2934
2010-07-01,94.5971
2010-08-01,97.2627
2010-09-01,96.1605
2010-10-01,95.0443
2010-11-01,94.1677
2010-12-01,95.6922
2011-01-01,95.5885
2011-02-01,94.7486
2011-03-01,96.4289
2011-04-01,94.5455
2011-05-01,95.3122
2011-06-01,98.2958
2011-07-01,97.1811
2011-08-01,99.6962
2011-09-01,98.6057
2011-10-01,98.2439
2011-11-01,97.5767
2011-12-01,98.5694
2012-01-01,98.9447
2012-02-01,99.1363
2012-03-01,99.2281
2012-04-01,98.3628
2012-05-01,99.1659
2012-06-01,101.7406
2012-07-01,100.2243
2012-08-01,101.8861
2012-09-01,100.8785
2012-10-01,99.9859
2012-11-01,99.9465
2012-12-01,100.5005
2013-01-01,100.5028
2013-02-01,100.8380
2013-03-01,101.4756
2013-04-01,100.5266
2013-05-01,100.7563
2013-06-01,103.4490
2013-07-01,101.5578
2013-08-01,104.2846
2013-09-01,103.6462
2013-10-01,102.4679
2013-11-01,102.2599
2013-12-01,102.5590
2014-01-01,102.4432
2014-02-01,103.1216
2014-03-01,104.5927
2014-04-01,103.2627
2014-05-01,104.0325
2014-06-01,106.9673
2014-07-01,105.1826
2014-08-01,107.7094
2014-09-01,106.8587
2014-10-01,105.8020
2014-11-01,106.0444
2014-12-01,105.8811
2015-01-01,105.4380
2015-02-01,105.1115
2015-03-01,105.1465
2015-04-01,102.9089
2015-05-01,103.1146
2015-06-01,105.5882
2015-07-01,104.3346
2015-08-01,106.6305
2015-09-01,104.3871
2015-10-01,103.3671
2015-11-01,102.0240
2015-12-01,101.2859
2016-01-01,102.3635
2016-02-01,101.6587
2016-03-01,100.7653
2016-04-01,100.2972
2016-05-01,100.2612
2016-06-01,103.6396
2016-07-01,101.9895
2016-08-01,104.3858
2016-09-01,102.9563
2016-10-01,102.4192
2016-11-01,101.4740
2016-12-01,102.6494
2017-01-01,102.6610
2017-02-01,102.2154
2017-03-01,103.4862
2017-04-01,102.0092
2017-05-01,103.3433
2017-06-01,106.2840
2017-07-01,104.5709
2017-08-01,106.1917
2017-09-01,104.7308
2017-10-01,105.7439
2017-11-01,105.6658
2017-12-01,106.3932
2018-01-01,106.2251
2018-02-01,106.3400
2018-03-01,107.3264
2018-04-01,106.8323
2018-05-01,106.2871
2018-06-01,109.7123
2018-07-01,108.5215
2018-08-01,111.6802
2018-09-01,110.3348
2018-10-01,109.7840
2018-11-01,109.7341
2018-12-01,109.9156
2019-01-01,109.7224
2019-02-01,109.3189
2019-03-01,109.7620
2019-04-01,107.4294
2019-05-01,107.9400
2019-06-01,110.7628
2019-07-01,108.8297
2019-08-01,112.0519
2019-09-01,110.1146
2019-10-01,108.8239
2019-11-01,109.2278
2019-12-01,109.1800
2020-01-01,108.5678
2020-02-01,109.1064
2020-03-01,104.4825
2020-04-01,89.0060
2020-05-01,90.7632
2020-06-01,98.4178
2020-07-01,99.7673
